case,family,seed,split,scale_group,units,periods,strategy,status,objective,bb_nodes,formal_lp_solved,probe_lp_solved,inference_time_sec,probe_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend,instance_id,instance_group,strategy_zh,best_bound,nodes,total_time_sec,timing_repeats,timing_protocol
uc_in_distribution_unit_commitment_u3_t4_seed51012,unit_commitment,51012,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子1）,最优,82.08751422,53,56,0,0.021482543,0,1.1511359,1.1511359,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51012,train_scale,GNN图学习分支（种子1）,,53,1.1511359,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u3_t4_seed51012,unit_commitment,51012,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子2）,最优,82.08751422,63,66,0,0.025578082,0,1.3117935,1.3117935,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51012,train_scale,GNN图学习分支（种子2）,,63,1.3117935,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u3_t4_seed51012,unit_commitment,51012,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子3）,最优,82.08751422,63,66,0,0.025810587,0,1.3123991,1.3123991,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51012,train_scale,GNN图学习分支（种子3）,,63,1.3123991,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t3_seed51013,unit_commitment,51013,uc_in_distribution,train_scale,4,3,最接近0.5分支（原规则）,最优,86.61771134,181,184,0,0,0,2.9970212,2.9970212,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51013,train_scale,最接近0.5分支（原规则）,,181,2.9970212,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t3_seed51013,unit_commitment,51013,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子1）,最优,86.61771134,119,122,0,0.04850837,0,2.1260604,2.1260604,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51013,train_scale,GNN图学习分支（种子1）,,119,2.1260604,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t3_seed51013,unit_commitment,51013,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子2）,最优,86.61771134,119,122,0,0.047641709,0,2.1283168,2.1283168,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51013,train_scale,GNN图学习分支（种子2）,,119,2.1283168,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t3_seed51013,unit_commitment,51013,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子3）,最优,86.61771134,127,130,0,0.052215249,0,2.2518137,2.2518137,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51013,train_scale,GNN图学习分支（种子3）,,127,2.2518137,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t3_seed51014,unit_commitment,51014,uc_in_distribution,train_scale,5,3,最接近0.5分支（原规则）,最优,101.3724331,65,68,0,0,0,2.7602003,2.7602003,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51014,train_scale,最接近0.5分支（原规则）,,65,2.7602003,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t3_seed51014,unit_commitment,51014,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子1）,最优,101.3724331,75,78,0,0.033122463,0,2.9644662,2.9644662,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51014,train_scale,GNN图学习分支（种子1）,,75,2.9644662,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t3_seed51014,unit_commitment,51014,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子2）,最优,101.3724331,37,40,0,0.016041919,0,1.6148713,1.6148713,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51014,train_scale,GNN图学习分支（种子2）,,37,1.6148713,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t3_seed51014,unit_commitment,51014,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子3）,最优,101.3724331,49,52,0,0.021344959,0,2.0722122,2.0722122,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51014,train_scale,GNN图学习分支（种子3）,,49,2.0722122,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t5_seed51015,unit_commitment,51015,uc_in_distribution,train_scale,4,5,最接近0.5分支（原规则）,最优,104.3487104,57,60,0,0,0,4.2828961,4.2828961,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51015,train_scale,最接近0.5分支（原规则）,,57,4.2828961,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t5_seed51015,unit_commitment,51015,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子1）,最优,104.3487104,57,60,0,0.026666832,0,4.2175903,4.2175903,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51015,train_scale,GNN图学习分支（种子1）,,57,4.2175903,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t5_seed51015,unit_commitment,51015,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子2）,最优,104.3487104,55,58,0,0.02426629,0,4.0784936,4.0784936,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51015,train_scale,GNN图学习分支（种子2）,,55,4.0784936,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t5_seed51015,unit_commitment,51015,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子3）,最优,104.3487104,57,60,0,0.025750084,0,4.2582444,4.2582444,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51015,train_scale,GNN图学习分支（种子3）,,57,4.2582444,1,单次稳定性补跑
